position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	2.48e-05	1	1.15504e-07	1.01032e-06	0.999999
N/A	2.48e-05	1	1.44848e-07	1.0233e-06	0.999999
N/A	2.48e-05	1	1.11824e-07	0.00153839	0.998462
N/A	2.48e-05	1	1.0622e-07	3.40345e-06	0.999997
N/A	2.48e-05	1	1.92911e-07	0.000959708	0.99904
N/A	2.48e-05	1	1.06748e-07	0.0055315	0.994468
N/A	2.48e-05	1	1.63206e-07	0.00252874	0.997471
N/A	2.48e-05	1	1.61176e-07	0.00971613	0.990284
N/A	2.48e-05	1	1.55734e-07	0.000119992	0.99988
N/A	2.48e-05	1	1.88102e-07	7.60125e-05	0.999924
N/A	2.48e-05	1	3.11231e-07	2.31114e-05	0.999977
N/A	2.48e-05	1	3.04725e-07	1.62595e-06	0.999998
N/A	2.48e-05	1	3.54445e-07	1.16319e-07	1
N/A	2.48e-05	1	3.03634e-07	1.49854e-05	0.999985
N/A	2.48e-05	1	1.5957e-07	1.04455e-07	1
N/A	2.48e-05	1	1.08233e-07	6.57785e-05	0.999934
N/A	2.48e-05	1	2.21676e-07	4.33382e-06	0.999996
N/A	2.48e-05	1	1.92998e-07	0.000881156	0.999119
N/A	2.48e-05	1	3.61789e-07	0.000852403	0.999148
N/A	2.48e-05	1	1.63068e-07	0.000459934	0.99954
N/A	2.48e-05	1	1.16471e-07	8.2862e-06	0.999992
N/A	2.48e-05	1	1.39929e-07	1.43064e-07	1
N/A	2.48e-05	1	2.40617e-07	0.00110121	0.998899
N/A	2.48e-05	1	2.71668e-07	0.00346255	0.996537
N/A	2.48e-05	1	1.67462e-07	2.90456e-06	0.999997
N/A	2.48e-05	0.999999	1.05208e-06	8.06384e-06	0.999992
N/A	2.48e-05	1	1.93824e-07	0.000194395	0.999806
N/A	2.48e-05	1	1.37264e-07	0.00377914	0.996221
N/A	2.48e-05	1	2.86136e-07	1.72785e-07	1
N/A	2.48e-05	1	2.51066e-07	1.74842e-07	1
N/A	2.48e-05	1	2.17784e-07	0.000491218	0.999509
N/A	2.48e-05	1	1.33728e-07	0.000698624	0.999301
N/A	2.48e-05	1	2.13016e-07	1.8974e-07	1
N/A	2.48e-05	0.999999	9.44158e-07	0.000735788	0.999264
N/A	2.48e-05	1	2.26391e-07	0.000340445	0.99966
N/A	2.48e-05	1	1.14886e-07	3.59974e-07	1
N/A	2.48e-05	0.999999	7.13182e-07	0.00636299	0.993637
N/A	2.48e-05	1	3.29344e-07	1.3861e-05	0.999986
N/A	2.48e-05	1	1.41198e-07	4.63375e-06	0.999995
N/A	2.48e-05	1	2.99761e-07	1.55833e-05	0.999984
N/A	2.48e-05	1	2.81002e-07	0.00340809	0.996592
N/A	2.48e-05	1	3.86421e-07	1.88065e-05	0.999981
N/A	2.48e-05	1	1.4259e-07	6.07782e-05	0.999939
N/A	2.48e-05	1	1.14119e-07	3.1074e-07	1
N/A	2.48e-05	1	2.02745e-07	1.64828e-07	1
N/A	2.48e-05	1	1.4785e-07	1.55527e-05	0.999984
N/A	2.48e-05	1	1.72235e-07	0.00211847	0.997882
N/A	2.48e-05	1	1.31398e-07	3.18748e-05	0.999968
N/A	2.48e-05	0.999999	5.57357e-07	4.94106e-07	1
N/A	2.48e-05	1	1.32694e-07	3.34438e-06	0.999997
N/A	2.48e-05	1	4.50755e-07	7.733e-06	0.999992
N/A	2.48e-05	1	1.27002e-07	0.000495405	0.999505
N/A	2.48e-05	1	1.29925e-07	0.000409741	0.99959
N/A	2.48e-05	1	2.05666e-07	3.10885e-07	1
N/A	2.48e-05	1	1.54793e-07	5.14787e-05	0.999949
N/A	2.48e-05	1	2.4225e-07	1.03254e-07	1
N/A	2.48e-05	1	1.85342e-07	0.00626697	0.993733
N/A	2.48e-05	1	2.40774e-07	7.7197e-05	0.999923
N/A	2.48e-05	1	1.9816e-07	2.05716e-07	1
N/A	2.48e-05	0.999999	8.1887e-07	0.00723463	0.992765
N/A	2.48e-05	1	1.38284e-07	4.87607e-07	1
N/A	2.48e-05	1	2.02801e-07	2.41284e-07	1
N/A	2.48e-05	1	1.02858e-07	4.09257e-07	1
N/A	2.48e-05	0.999999	1.16733e-06	0.00627398	0.993726
N/A	2.48e-05	1	3.16167e-07	1.28721e-05	0.999987
N/A	2.48e-05	1	1.06086e-07	0.00181284	0.998187
N/A	2.48e-05	1	1.46583e-07	1.31604e-05	0.999987
N/A	2.48e-05	1	1.36477e-07	0.00010253	0.999897
N/A	2.48e-05	0.999999	5.72081e-07	0.00835759	0.991642
N/A	2.48e-05	1	1.15133e-07	2.59484e-06	0.999997
N/A	2.48e-05	1	1.46043e-07	2.79305e-07	1
N/A	2.48e-05	1	2.84007e-07	0.00228903	0.997711
N/A	2.48e-05	1	1.34435e-07	0.000211048	0.999789
N/A	2.48e-05	1	3.37188e-07	0.00195142	0.998049
N/A	2.48e-05	1	1.12812e-07	1.72905e-05	0.999983
N/A	2.48e-05	1	1.8758e-07	0.000471287	0.999529
N/A	2.48e-05	1	1.0431e-07	2.39865e-05	0.999976
N/A	2.48e-05	1	1.17251e-07	0.00192003	0.99808
N/A	2.48e-05	1	1.26892e-07	1.65573e-07	1
N/A	2.48e-05	1	2.17044e-07	0.000223869	0.999776
N/A	2.48e-05	1	1.52157e-07	5.65354e-05	0.999943
N/A	2.48e-05	1	1.78614e-07	0.00965636	0.990344
N/A	2.48e-05	1	2.97829e-07	4.24106e-05	0.999958
N/A	2.48e-05	1	1.58319e-07	8.00503e-07	0.999999
N/A	2.48e-05	1	2.27598e-07	5.40586e-06	0.999995
N/A	2.48e-05	0.999999	5.68238e-07	1.54778e-06	0.999998
N/A	2.48e-05	1	1.43603e-07	2.68543e-06	0.999997
N/A	2.48e-05	1	1.33176e-07	0.000136636	0.999863
N/A	2.48e-05	1	1.3598e-07	0.000202454	0.999798
N/A	2.48e-05	1	1.85347e-07	9.57886e-06	0.99999
N/A	2.48e-05	1	1.83656e-07	0.00237426	0.997626
N/A	2.48e-05	1	1.29447e-07	2.69412e-07	1
N/A	2.48e-05	1	1.22065e-07	0.000163031	0.999837
N/A	2.48e-05	0.999999	5.12495e-07	0.000108257	0.999892
N/A	2.48e-05	1	1.07768e-07	0.000431803	0.999568
N/A	2.48e-05	1	2.21324e-07	6.26661e-05	0.999937
N/A	2.48e-05	1	3.03645e-07	7.3374e-05	0.999927
N/A	2.48e-05	1	1.21899e-07	5.69546e-05	0.999943
N/A	2.48e-05	1	2.5114e-07	0.00024098	0.999759
N/A	2.48e-05	1	1.93406e-07	2.87887e-06	0.999997
